LLM,ID,Penyakit,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Cosine Sim,Waktu (s),Faithfulness
Ollama — qwen2.5:3b (LOW),Q01,bacterial_leaf_blight,0.1636,0.0305,0.1212,0.5884,87.344,
Ollama — qwen2.5:3b (LOW),Q02,leaf_blast,0.1532,0.0163,0.0887,0.4849,55.834,
Ollama — qwen2.5:3b (LOW),Q03,neck_blast,0.1872,0.0398,0.1182,0.5514,47.614,
Ollama — qwen2.5:3b (LOW),Q04,sheath_blight,0.1901,0.0077,0.0989,0.5114,58.446,
Ollama — qwen2.5:3b (LOW),Q05,tungro,0.0971,0.0065,0.0583,0.4891,70.571,
Ollama — qwen2.5:3b (LOW),Q06,brown_spot,0.1439,0.0229,0.1136,0.5408,58.877,
Ollama — qwen2.5:3b (LOW),Q07,dead_heart,0.1158,0.0,0.0772,0.4851,59.563,
Ollama — qwen2.5:3b (LOW),Q08,hispa,0.1484,0.0142,0.0919,0.543,60.682,
Ollama — qwen2.5:3b (LOW),Q09,bacterial_panicle_blight,0.2007,0.0279,0.1315,0.6021,66.62,
Ollama — qwen2.5:3b (LOW),Q10,leaf_smut,0.1596,0.019,0.1033,0.5775,55.112,
Ollama — qwen2.5:3b (LOW),Q11,downy_mildew,0.1949,0.0104,0.1128,0.5212,46.467,
Ollama — qwen2.5:3b (LOW),Q12,healthy,0.1308,0.0,0.0769,0.6667,53.941,
Ollama — qwen2.5:3b (LOW),Q13,bacterial_leaf_streak,0.1957,0.0365,0.1377,0.7041,65.062,
Ollama — qwen2.5:3b (LOW),Q14,harvest_stage,0.1933,0.0134,0.0933,0.6282,63.718,
Ollama — qwen2.5:3b (LOW),Q15,leaf_blast,0.1836,0.0132,0.1049,0.5638,40.074,
Ollama — qwen2.5:3b (LOW),Q16,sheath_blight,0.1333,0.0,0.0941,0.5728,34.283,
Ollama — qwen2.5:3b (LOW),Q17,tungro,0.1063,0.0,0.075,0.6448,42.739,
Ollama — qwen2.5:3b (LOW),Q18,harvest_stage,0.1538,0.0053,0.0637,0.6701,47.288,
Gemini — gemini-2.5-flash (MEDIUM),Q01,bacterial_leaf_blight,0.1121,0.0381,0.0935,0.4265,92.161,
Gemini — gemini-2.5-flash (MEDIUM),Q02,leaf_blast,0.0577,0.0196,0.0577,0.3615,113.563,
Gemini — gemini-2.5-flash (MEDIUM),Q03,neck_blast,0.1224,0.0417,0.1224,0.4422,92.173,
Gemini — gemini-2.5-flash (MEDIUM),Q04,sheath_blight,0.0545,0.0185,0.0545,0.3631,93.042,
Gemini — gemini-2.5-flash (MEDIUM),Q05,tungro,0.1061,0.0076,0.0833,0.5366,90.831,
Gemini — gemini-2.5-flash (MEDIUM),Q06,brown_spot,0.0583,0.0198,0.0583,0.3719,90.52,
Gemini — gemini-2.5-flash (MEDIUM),Q07,dead_heart,0.1382,0.0082,0.0732,0.5498,91.296,
