LLM,ID,Penyakit,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Cosine Sim,Waktu (s),Faithfulness
Ollama — qwen2.5:3b (LOW),Q01,bacterial_leaf_blight,0.1293,0.0435,0.1207,0.6034,77.273,
Ollama — qwen2.5:3b (LOW),Q02,leaf_blast,0.1067,0.0359,0.0889,0.3068,58.183,
Ollama — qwen2.5:3b (LOW),Q03,neck_blast,0.0604,0.0182,0.0544,0.5258,78.888,
Ollama — qwen2.5:3b (LOW),Q04,sheath_blight,0.0627,0.0,0.0392,0.4413,67.239,
Ollama — qwen2.5:3b (LOW),Q05,tungro,0.0889,0.0128,0.0635,0.4787,83.661,
Ollama — qwen2.5:3b (LOW),Q06,brown_spot,0.1402,0.0283,0.1121,0.4806,55.487,
Ollama — qwen2.5:3b (LOW),Q07,dead_heart,0.1264,0.015,0.0892,0.6517,71.106,
Ollama — qwen2.5:3b (LOW),Q08,hispa,0.1714,0.0192,0.1048,0.5991,57.79,
Ollama — qwen2.5:3b (LOW),Q09,bacterial_panicle_blight,0.1849,0.0339,0.1513,0.5973,65.867,
Ollama — qwen2.5:3b (LOW),Q10,leaf_smut,0.169,0.0379,0.1033,0.5605,61.01,
Ollama — qwen2.5:3b (LOW),Q11,downy_mildew,0.097,0.0123,0.0848,0.3305,49.0,
Ollama — qwen2.5:3b (LOW),Q12,healthy,0.1034,0.0,0.0603,0.6091,59.897,
Ollama — qwen2.5:3b (LOW),Q13,leaf_blast,0.13,0.0404,0.06,0.355,30.21,
Ollama — qwen2.5:3b (LOW),Q14,sheath_blight,0.1034,0.0139,0.069,0.4838,45.115,
Ollama — qwen2.5:3b (LOW),Q15,tungro,0.0709,0.0071,0.0426,0.567,42.431,
Ollama — qwen2.5:3b (LOW),Q16,bacterial_leaf_streak,0.1233,0.0414,0.1096,0.5048,69.764,
Ollama — qwen2.5:3b (LOW),Q17,harvest_stage,0.1636,0.0183,0.0848,0.5947,76.936,
Ollama — qwen2.5:3b (LOW),Q18,harvest_stage,0.1115,0.0198,0.0656,0.5491,52.341,
Gemini — gemini-2.5-flash (MEDIUM),Q01,bacterial_leaf_blight,0.129,0.0667,0.129,0.5196,7.228,
Gemini — gemini-2.5-flash (MEDIUM),Q02,leaf_blast,0.0896,0.0308,0.0896,0.2613,7.702,
Gemini — gemini-2.5-flash (MEDIUM),Q03,neck_blast,0.1,0.069,0.1,0.4992,7.103,
Gemini — gemini-2.5-flash (MEDIUM),Q04,sheath_blight,0.1069,0.0155,0.0763,0.472,4.188,
Gemini — gemini-2.5-flash (MEDIUM),Q05,tungro,0.1808,0.0343,0.1243,0.5142,5.187,
Gemini — gemini-2.5-flash (MEDIUM),Q06,brown_spot,0.0635,0.0328,0.0635,0.4854,5.977,
Gemini — gemini-2.5-flash (MEDIUM),Q07,dead_heart,0.0678,0.0,0.0678,0.4395,54.863,
Gemini — gemini-2.5-flash (MEDIUM),Q08,hispa,0.0625,0.0323,0.0625,0.4327,6.753,
Gemini — gemini-2.5-flash (MEDIUM),Q09,bacterial_panicle_blight,0.0968,0.0667,0.0968,0.562,7.146,
Gemini — gemini-2.5-flash (MEDIUM),Q10,leaf_smut,0.2029,0.0597,0.1159,0.4415,6.846,
Gemini — gemini-2.5-flash (MEDIUM),Q11,downy_mildew,0.0606,0.0312,0.0606,0.3326,6.475,
Gemini — gemini-2.5-flash (MEDIUM),Q12,healthy,0.1594,0.0294,0.1159,0.5997,6.634,
Gemini — gemini-2.5-flash (MEDIUM),Q13,leaf_blast,0.0606,0.0312,0.0606,0.2563,7.067,
Gemini — gemini-2.5-flash (MEDIUM),Q14,sheath_blight,0.0,0.0,0.0,0.0,0.0,
Gemini — gemini-2.5-flash (MEDIUM),Q15,tungro,0.0571,0.0,0.0286,0.4621,6.845,
Gemini — gemini-2.5-flash (MEDIUM),Q16,bacterial_leaf_streak,0.1013,0.0779,0.1013,0.3598,7.256,
Gemini — gemini-2.5-flash (MEDIUM),Q17,harvest_stage,0.15,0.0256,0.075,0.5513,7.146,
Gemini — gemini-2.5-flash (MEDIUM),Q18,harvest_stage,0.0789,0.0,0.0526,0.5353,7.843,
Groq — llama-3.3-70b-versatile (HIGH),Q01,bacterial_leaf_blight,0.1401,0.0471,0.1167,0.6632,2.492,
Groq — llama-3.3-70b-versatile (HIGH),Q02,leaf_blast,0.1333,0.0403,0.1133,0.5737,2.694,
Groq — llama-3.3-70b-versatile (HIGH),Q03,neck_blast,0.1186,0.0398,0.1028,0.538,2.39,
Groq — llama-3.3-70b-versatile (HIGH),Q04,sheath_blight,0.1545,0.0433,0.1116,0.5498,2.492,
Groq — llama-3.3-70b-versatile (HIGH),Q05,tungro,0.1928,0.0243,0.1365,0.7767,2.393,
Groq — llama-3.3-70b-versatile (HIGH),Q06,brown_spot,0.0984,0.0198,0.0787,0.5935,2.546,
Groq — llama-3.3-70b-versatile (HIGH),Q07,dead_heart,0.12,0.0403,0.1133,0.6605,4.207,
Groq — llama-3.3-70b-versatile (HIGH),Q08,hispa,0.1194,0.0226,0.0821,0.5774,2.465,
Groq — llama-3.3-70b-versatile (HIGH),Q09,bacterial_panicle_blight,0.1825,0.0536,0.1521,0.69,12.972,
Groq — llama-3.3-70b-versatile (HIGH),Q10,leaf_smut,0.1769,0.0543,0.1231,0.5365,2.45,
Groq — llama-3.3-70b-versatile (HIGH),Q11,downy_mildew,0.0996,0.0287,0.0783,0.3862,15.549,
Groq — llama-3.3-70b-versatile (HIGH),Q12,healthy,0.2358,0.1143,0.1981,0.7171,2.282,
Groq — llama-3.3-70b-versatile (HIGH),Q13,leaf_blast,0.1375,0.0346,0.0687,0.4443,16.548,
Groq — llama-3.3-70b-versatile (HIGH),Q14,sheath_blight,0.1615,0.031,0.0692,0.4463,3.07,
Groq — llama-3.3-70b-versatile (HIGH),Q15,tungro,0.1236,0.0078,0.0772,0.6793,15.34,
Groq — llama-3.3-70b-versatile (HIGH),Q16,bacterial_leaf_streak,0.2206,0.1037,0.1912,0.5825,2.926,
Groq — llama-3.3-70b-versatile (HIGH),Q17,harvest_stage,0.1697,0.0366,0.1152,0.5842,2.641,
Groq — llama-3.3-70b-versatile (HIGH),Q18,harvest_stage,0.1714,0.036,0.1143,0.5189,13.336,

=== RATA-RATA PER LLM ===
LLM,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Cosine Sim,Avg Waktu (s),Avg Faithfulness
Ollama — qwen2.5:3b (LOW),0.1191,0.0221,0.0836,0.5133,61.233,
Gemini — gemini-2.5-flash (MEDIUM),0.0982,0.0335,0.0789,0.4291,9.014,
Groq — llama-3.3-70b-versatile (HIGH),0.1531,0.0432,0.1135,0.5843,6.044,
